City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,37.85,85,32,1.63,AR,2023-01-17 02:11:31
1,Dikson,73.5069,80.5464,-35.07,86,3,6.06,RU,2023-01-17 02:15:25
2,Avarua,-21.2078,-159.775,82.45,69,75,6.91,CK,2023-01-17 02:14:32
3,Saint-Philippe,-21.3585,55.7679,73.11,81,34,12.08,RE,2023-01-17 02:15:26
4,Rikitea,-23.1203,-134.9692,77.79,68,2,5.79,PF,2023-01-17 02:15:27
5,Mar Del Plata,-38.0023,-57.5575,69.82,93,75,13.0,AR,2023-01-17 02:15:27
6,Kununurra,-15.7667,128.7333,85.98,79,40,9.22,AU,2023-01-17 02:15:28
7,Fuerte Olimpo,-21.0415,-57.8738,77.29,75,4,4.38,PY,2023-01-17 02:15:29
8,Bar-Le-Duc,48.75,5.1667,34.18,94,44,5.99,FR,2023-01-17 02:15:30
9,Dombovar,46.3766,18.137,41.81,94,100,5.97,HU,2023-01-17 02:15:31
10,Melnikovo,56.5558,84.085,15.26,93,100,9.13,RU,2023-01-17 02:15:32
11,Punta Arenas,-53.15,-70.9167,48.31,49,0,18.41,CL,2023-01-17 02:11:10
12,Yar-Sale,66.8333,70.8333,6.28,96,100,13.73,RU,2023-01-17 02:15:32
13,Barrow,71.2906,-156.7887,-20.18,76,100,16.11,US,2023-01-17 02:12:31
14,Kaitangata,-46.2817,169.8464,67.05,60,81,11.79,NZ,2023-01-17 02:11:32
15,Taoudenni,22.6783,-3.9836,63.68,23,70,9.98,ML,2023-01-17 02:11:30
16,Lebu,-37.6167,-73.65,55.47,89,0,15.52,CL,2023-01-17 02:11:54
17,Orimattila,60.8049,25.7296,35.38,83,100,7.9,FI,2023-01-17 02:15:34
18,Orsha,54.5153,30.4053,32.25,98,100,14.18,BY,2023-01-17 02:15:35
19,Thio,-21.6167,166.2167,84.16,69,96,10.0,NC,2023-01-17 02:15:35
20,Yenagoa,4.9247,6.2642,75.47,90,66,3.47,NG,2023-01-17 02:15:36
21,Abu Samrah,35.3029,37.1841,47.26,89,63,0.94,SY,2023-01-17 02:15:37
22,Ilulissat,69.2167,-51.1,-5.78,59,75,23.02,GL,2023-01-17 02:15:37
23,Nikolskoye,59.7035,30.7861,35.49,93,100,8.57,RU,2023-01-17 02:15:38
24,Ancud,-41.8697,-73.8203,54.1,82,100,3.58,CL,2023-01-17 02:15:39
25,Vaini,-21.2,-175.2,84.36,74,75,8.05,TO,2023-01-17 02:14:35
26,Jalu,29.0331,21.5482,53.51,64,0,5.97,LY,2023-01-17 02:15:40
27,West Wendover,40.7391,-114.0733,33.01,86,100,8.05,US,2023-01-17 02:14:33
28,Barbate,36.1924,-5.9219,59.13,80,98,22.15,ES,2023-01-17 02:15:41
29,Dingle,10.9995,122.6711,81.79,82,50,7.81,PH,2023-01-17 02:14:52
30,Airai,-8.9266,125.4092,73.51,61,65,3.06,TL,2023-01-17 02:12:14
31,Tevriz,57.509,72.4042,9.01,96,96,6.62,RU,2023-01-17 02:15:43
32,Arraial Do Cabo,-22.9661,-42.0278,74.12,90,1,22.39,BR,2023-01-17 02:15:43
